unix_ms,rss_kb,cpu_pct
1787234381833,99104,18.1
1787234381887,108416,16.7
1787234381950,206608,16.7
1787234382009,216176,33.9
1787234382063,225840,33.9
1787234382124,234768,58.0
1787234382184,245440,58.0
1787234382240,255568,74.0
1787234382300,266624,74.0
1787234382363,274352,82.9
1787234382424,285392,82.9
1787234382487,296768,82.9
1787234382542,306832,90.7
1787234382605,318304,90.7
1787234382666,327744,92.7
1787234382729,331328,92.7
1787234382791,341904,96.8
1787234382845,350768,96.8
1787234382908,361744,99.5
1787234382971,372800,99.5
1787234383027,382688,98.0
1787234383090,393552,98.0
1787234383143,402640,100.0
1787234383202,412992,100.0
1787234383266,414432,98.6
1787234383328,418560,98.6
1787234383389,429440,100.0
1787234383452,440976,100.0
1787234383513,452016,98.8
1787234383570,462336,98.8
1787234383629,472992,100.0
1787234383692,484496,100.0
1787234383753,495552,99.0
1787234383812,506000,99.0
1787234383868,516272,99.4
1787234383931,527152,99.4
1787234383994,538160,99.8
1787234384057,544592,99.8
1787234384120,544592,100.0
1787234384179,544592,100.0
1787234384242,552784,99.2
1787234384303,564144,99.2
1787234384362,574976,99.2
1787234384425,586496,100.0
1787234384484,597152,100.0
1787234384542,607760,99.4
1787234384605,619312,99.4
1787234384668,630704,100.0
1787234384726,641104,100.0
1787234384789,652768,99.2
1787234384851,664336,99.2
1787234384914,675984,100.0
1787234384977,687136,100.0
1787234385036,697648,99.1
1787234385096,708656,99.1
1787234385159,720432,99.7
1787234385223,731792,99.7
1787234385284,739712,99.8
1787234385347,739712,99.8
1787234385401,739712,100.0
1787234385464,739712,100.0
1787234385527,739712,99.6
1787234385590,747312,99.6
1787234385651,758304,100.0
1787234385714,768800,100.0
1787234385770,778544,100.0
1787234385831,788912,100.0
1787234385890,799792,100.0
1787234385948,810448,100.0
1787234386010,821600,100.0
1787234386074,833088,100.0
1787234386131,843008,99.4
1787234386190,853440,99.4
1787234386254,864896,100.0
1787234386315,876016,100.0
1787234386374,886848,98.6
1787234386437,897600,98.6
1787234386503,909888,100.0
1787234386557,919552,100.0
1787234386618,929904,100.0
1787234386680,940864,100.0
1787234386742,952000,100.0
1787234386801,962800,99.7
1787234386858,972176,99.7
1787234386920,982832,100.0
1787234386983,993296,100.0
1787234387044,1002432,99.3
1787234387098,1011328,99.3
1787234387158,1021584,100.0
